field,base_field,elasticsearch_type,category,human_name_en,meaning_en,unit_or_value_hint,preferred_esql_field,agent_notes,confidence
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant,object,"Vehicle make, model, type and category",Variant,"Container object for vehicle make, model, type and category fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn,text,"Vehicle make, model, type and category",Vehicle variant name,Human-readable vehicle variant/type variant.,,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn,keyword,"Vehicle make, model, type and category",Vehicle variant name (keyword),"Keyword/exact-match representation of vehicle variant name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNummer,long,"Vehicle make, model, type and category",Vehicle variant code,Numeric code for the vehicle variant.,,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Variant.KoeretoejVariantTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejAnvendelseSamlingStruktur,KoeretoejAnvendelseSamlingStruktur,object,Vehicle use/application,Vehicle Use Collection Structure,"Container object for vehicle use/application fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling,object,Vehicle use/application,Vehicle Use Collection,"Container object for vehicle use/application fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur,object,Vehicle use/application,Vehicle Use Structure,"Container object for vehicle use/application fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,text,Vehicle use/application,Vehicle use name,"Human-readable vehicle usage/application, such as private passenger use, goods transport, taxi, rental, etc.",,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,For exact matching use `KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword`.,official/inferred
KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,keyword,Vehicle use/application,Vehicle use name (keyword),"Keyword/exact-match representation of vehicle use name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,long,Vehicle use/application,Vehicle use code,Numeric code for the vehicle usage/application.,,KoeretoejAnvendelseSamlingStruktur.KoeretoejAnvendelseSamling.KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,"Numeric code, not a metric.",inferred
KoeretoejAnvendelseStruktur,KoeretoejAnvendelseStruktur,object,Vehicle use/application,Vehicle Use Structure,"Container object for vehicle use/application fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,text,Vehicle use/application,Vehicle use name,"Human-readable vehicle usage/application, such as private passenger use, goods transport, taxi, rental, etc.",,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,For exact matching use `KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword`.,official/inferred
KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn,keyword,Vehicle use/application,Vehicle use name (keyword),"Keyword/exact-match representation of vehicle use name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,long,Vehicle use/application,Vehicle use code,Numeric code for the vehicle usage/application.,,KoeretoejAnvendelseStruktur.KoeretoejAnvendelseNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur,KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur,object,Body / bodywork,Body Type Structure,"Container object for body / bodywork fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn,KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn,text,Body / bodywork,Body type name,"Primary body type name, such as hatchback, sedan, van body, trailer body, etc.",,KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn,keyword,Body / bodywork,Body type name (keyword),"Keyword/exact-match representation of body type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KarrosseriTypeStruktur.KarrosseriTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur,object,Body / bodywork,Vehicle Supplementary Body Collection Structure,"Container object for body / bodywork fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling,object,Body / bodywork,Vehicle Supplementary Body Collection,"Container object for body / bodywork fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur,object,Body / bodywork,Vehicle Supplementary Body Type Structure,"Container object for body / bodywork fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn,text,Body / bodywork,Supplementary body type name,Additional/supplementary body type classification.,,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn,keyword,Body / bodywork,Supplementary body type name (keyword),"Keyword/exact-match representation of supplementary body type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNummer,long,Body / bodywork,Supplementary body type code,Numeric code for supplementary body type.,,KoeretoejOplysningGrundStruktur.KoeretoejSupplerendeKarrosseriSamlingStruktur.KoeretoejSupplerendeKarrosseriSamling.KoeretoejSupplerendeKarrosseriTypeStruktur.SupplerendeKarrosseriTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur,object,Colour,Vehicle Colour Structure,"Container object for colour fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur,object,Colour,Colour Type Structure,"Container object for colour fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn,text,Colour,Colour name,Vehicle colour name.,,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn,keyword,Colour,Colour name (keyword),"Keyword/exact-match representation of colour name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNavn.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNummer,long,Colour,Colour code,Numeric code for vehicle colour.,,KoeretoejOplysningGrundStruktur.KoeretoejFarveStruktur.FarveTypeStruktur.FarveTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAfstand,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAfstand,long,"Dimensions, weights and capacity",Wheelbase,"Distance between axles/wheelbase, normally in millimetres.",mm,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAfstand,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAntal,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAntal,long,"Dimensions, weights and capacity",Number of axles,Number of axles on the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAkselAntal,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalDoere,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalDoere,long,"Dimensions, weights and capacity",Number of doors,Number of doors on the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalDoere,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalGear,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalGear,long,"Dimensions, weights and capacity",Number of gears,Number of gears in the transmission.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningAntalGear,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgenVaegt,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgenVaegt,long,"Dimensions, weights and capacity",Own weight / kerb weight,"Vehicle own weight/kerb weight, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgenVaegt,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek,text,"Dimensions, weights and capacity",Rims and tyres,Textual information about approved wheel/rim and tyre combinations.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek,keyword,"Dimensions, weights and capacity",Rims and tyres (keyword),"Keyword/exact-match representation of rims and tyres. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFaelgDaek.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMaksimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMaksimum,long,"Dimensions, weights and capacity",Maximum curb/running-order weight,"Maximum vehicle weight in running order/curb weight, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMaksimum,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMinimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMinimum,long,"Dimensions, weights and capacity",Minimum curb/running-order weight,"Minimum vehicle weight in running order/curb weight, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoereklarVaegtMinimum,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningMaksimumHastighed,KoeretoejOplysningGrundStruktur.KoeretoejOplysningMaksimumHastighed,long,"Dimensions, weights and capacity",Maximum speed,"Registered maximum speed, normally km/h.",km/h,KoeretoejOplysningGrundStruktur.KoeretoejOplysningMaksimumHastighed,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningPaahaengVognTotalVaegt,KoeretoejOplysningGrundStruktur.KoeretoejOplysningPaahaengVognTotalVaegt,long,"Dimensions, weights and capacity",Trailer gross weight,"Permitted gross weight of a trailer, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningPaahaengVognTotalVaegt,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningPassagerAntal,KoeretoejOplysningGrundStruktur.KoeretoejOplysningPassagerAntal,long,"Dimensions, weights and capacity",Passenger count,Number of passengers permitted/registered. In DMR-derived DST documentation this is specifically described as passengers allowed in commercial vehicles.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningPassagerAntal,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSaettevognTilladtAkselTryk,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSaettevognTilladtAkselTryk,long,"Dimensions, weights and capacity",Permitted semi-trailer axle load,"Highest permitted axle load for an attached semi-trailer, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSaettevognTilladtAkselTryk,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMaksimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMaksimum,long,"Dimensions, weights and capacity",Maximum seats,Maximum number of seats registered for the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMaksimum,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMinimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMinimum,long,"Dimensions, weights and capacity",Minimum seats,Minimum number of seats registered for the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSiddepladserMinimum,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkammelBelastning,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkammelBelastning,long,"Dimensions, weights and capacity",Fifth-wheel load,"Maximum load that may be imposed on the fifth wheel/coupling, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkammelBelastning,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselAntal,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselAntal,long,"Dimensions, weights and capacity",Vehicle Skatte Axle Count,"Numeric integer value for dimensions, weights and capacity. Check the unit before using in calculations.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselAntal,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselTryk,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselTryk,long,"Dimensions, weights and capacity",Tax axle load / taxable axle basis,Tax-related axle load/weight basis; for trailers/semi-trailers this can refer to trailer gross weight or axle load.,kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSkatteAkselTryk,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenBagest,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenBagest,long,"Dimensions, weights and capacity",Rear track width,"Rear track width, normally in millimetres.",mm,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenBagest,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenForrest,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenForrest,long,"Dimensions, weights and capacity",Front track width,"Front track width, normally in millimetres.",mm,KoeretoejOplysningGrundStruktur.KoeretoejOplysningSporviddenForrest,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMaksimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMaksimum,long,"Dimensions, weights and capacity",Maximum standing places,"Maximum number of standing passenger places, mostly relevant for buses/public transport vehicles.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMaksimum,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMinimum,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMinimum,long,"Dimensions, weights and capacity",Minimum standing places,"Minimum number of standing passenger places, mostly relevant for buses/public transport vehicles.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStaapladserMinimum,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStoersteAkselTryk,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStoersteAkselTryk,long,"Dimensions, weights and capacity",Maximum axle load,"Highest permitted axle load, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStoersteAkselTryk,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTekniskTotalVaegt,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTekniskTotalVaegt,long,"Dimensions, weights and capacity",Technical total weight,"Technically allowed total weight, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTekniskTotalVaegt,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtMedBremser,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtMedBremser,long,"Dimensions, weights and capacity",Braked towing weight,"Maximum permitted towing weight with brakes, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtMedBremser,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtUdenBremser,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtUdenBremser,long,"Dimensions, weights and capacity",Unbraked towing weight,"Maximum permitted towing weight without brakes, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingsvaegtUdenBremser,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTotalVaegt,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTotalVaegt,long,"Dimensions, weights and capacity",Gross vehicle weight,"Highest permitted total vehicle weight, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTotalVaegt,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningVogntogVaegt,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVogntogVaegt,long,"Dimensions, weights and capacity",Gross combination weight,"Total permitted weight for the vehicle plus trailer/combination, normally in kilograms.",kg,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVogntogVaegt,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur,object,Engine and drivetrain,Vehicle Engine Structure,"Container object for engine and drivetrain fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorCylinderAntal,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorCylinderAntal,long,Engine and drivetrain,Number of engine cylinders,Number of cylinders in the combustion engine.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorCylinderAntal,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknik,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknik,boolean,Engine and drivetrain,Innovative technology flag,Boolean indicating whether the vehicle/engine is registered with innovative technology.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknik,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknikAntal,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknikAntal,float,Engine and drivetrain,Innovative technology count,Number or count value related to innovative engine/vehicle technology registered for the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorInnovativTeknikAntal,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstand,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstand,long,Engine and drivetrain,Odometer reading,Registered odometer reading in kilometres.,km,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstand,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandDokumentation,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandDokumentation,boolean,Engine and drivetrain,Odometer documentation flag,Boolean indicating whether odometer documentation is present/valid.,km,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandDokumentation,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandIkkeTilgaengelig,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandIkkeTilgaengelig,boolean,Engine and drivetrain,Odometer unavailable flag,Boolean indicating that the odometer reading is not available.,km,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKilometerstandIkkeTilgaengelig,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKoerselStoej,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKoerselStoej,float,Engine and drivetrain,Driving noise,"Driving/pass-by noise level value, commonly in dB(A), but verify source unit.",likely dB(A); verify,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorKoerselStoej,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning,text,Engine and drivetrain,Engine marking,Manufacturer or administrative marking/identifier for the engine.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning.keyword,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning,keyword,Engine and drivetrain,Engine marking (keyword),"Keyword/exact-match representation of engine marking. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorMaerkning.keyword,Use for terms/grouping/exact matching.,inferred
